,ebin,w_0,h_0,w_1,h_1,w_2,h_2,w_3,h_3,w_4,h_4,w_5,h_5,w_6,h_6,w_7,h_7,w_8,h_8,w_9,h_9,w_10,h_10,w_11,h_11,w_12,h_12,w_13,h_13,w_14,h_14,w_15,h_15,w_16,h_16,w_17,h_17,w_18,h_18,w_19,h_19,w_20,h_20,w_21,h_21,w_22,h_22,w_23,h_23,w_24,h_24,w_25,h_25,w_26,h_26,w_27,h_27,w_28,h_28,w_29,h_29,w_30,h_30,w_31,h_31,w_32,h_32,w_33,h_33,w_34,h_34,w_35,h_35,w_36,h_36,w_37,h_37,w_38,h_38,w_39,h_39,w_40,h_40,w_41,h_41,w_42,h_42,w_43,h_43,w_44,h_44,w_45,h_45,w_46,h_46,w_47,h_47,w_48,h_48,w_49,h_49,w_50,h_50,w_51,h_51,w_52,h_52,w_53,h_53,w_54,h_54,w_55,h_55,w_56,h_56,w_57,h_57,w_58,h_58,w_59,h_59,w_60,h_60,w_61,h_61,w_62,h_62,w_63,h_63,w_64,h_64,w_65,h_65,w_66,h_66,w_67,h_67,w_68,h_68,w_69,h_69,w_70,h_70,w_71,h_71,w_72,h_72,w_73,h_73,w_74,h_74,w_75,h_75,w_76,h_76,w_77,h_77,w_78,h_78,w_79,h_79,w_80,h_80
,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,-2.944438934,4232,-11.29486847,3198,-19.36514854,4898,-27.86173058,4636,-36.3033371,4479,-44.71049118,4761,-53.17870331,6596,-61.97292328,6242,-70.71198273,6313,-79.46234894,6619,-88.26004791,7247,-97.14839172,8365,-106.1802063,9708,-115.3609085,9397,-124.5090561,9632,-133.6819,10287,-142.9205322,13448,-152.427124,11465,-161.7741852,14995,-171.3896637,16247,-181.0853271,17344,-190.8463287,21064,-200.801651,20315,-210.7207642,25846,-220.8806763,26601,-231.0693817,28823,-241.3383179,33439,-251.7557983,37198,-262.2798157,37867,-272.8216553,41063,-283.444519,48125,-294.2260742,51579,-305.0769348,56447,-316.0180054,57217,-326.9726257,69803,-338.1260681,74961,-349.3507996,83786,-360.6868286,91279,-372.10849,101125,-383.6325989,106415,-395.2077026,122523,-406.9237671,135691,-418.7419128,147345,-430.6424561,154879,-442.592865,183374,-454.7121582,185558,-466.8432922,216342,-479.1278992,242486,-491.5266113,264027,-504.0104065,296637,-516.6106567,307125,-529.2456665,349784,-542.0107422,389593,-554.883606,402211,-567.7883301,457203,-580.821228,501642,-593.9468994,539559,-607.1453857,618820,-620.480957,667823,-633.8927612,748598,-647.4187012,809099,-661.0223999,930478,-674.7658691,989288,-688.5706177,1103730,-702.4848022,1179149,-716.4650879,1327547,-730.5639038,1397749,-744.7142944,1571944
,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1.945910096,1699,-9.383705139,4101,-17.70269203,4429,-26.09862137,4408,-34.4897995,5074,-43.02168274,4902,-51.51908112,6541,-60.30492783,6181,-69.03416443,6596,-77.8283844,6244,-86.56776428,7581,-95.5011673,7597,-104.436676,9358,-113.5806656,8873,-122.6714325,10159,-131.8975525,11385,-141.2376099,13550,-150.7517548,11357,-160.0893402,14598,-169.6779785,15656,-179.3365936,17743,-189.1203461,20830,-199.0644989,20613,-208.9981689,25090,-219.1283875,27041,-229.3334961,29818,-239.6363678,33081,-250.0430756,36182,-260.5393982,36615,-271.0476074,44798,-281.7575378,45488,-292.4827271,52174,-303.3450623,55084,-314.2616882,61960,-325.295929,62736,-336.3426208,77997,-347.6070557,86926,-358.9798584,90236,-370.3900452,100104,-381.9040222,106010,-393.4753113,119049,-405.1625977,140036,-417.0122375,146711,-428.9084473,157019,-440.8725586,180916,-452.9783325,188139,-465.1232605,215637,-477.4046021,239603,-489.7913513,270256,-502.2984619,293289,-514.8873901,305990,-527.5186768,354668,-540.2976074,390813,-553.173584,396739,-566.0646362,462769,-579.1096191,493928,-592.2197876,540302,-605.4196777,617934,-618.7537842,671905,-632.1716309,750251,-645.6997681,801080,-659.293457,929080,-673.0354004,1000002,-686.8508911,1092298,-700.7546997,1186609,-714.741333,1316551,-728.8318481,1410311,-742.9911499,1573712
,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,-7.738052368,3870,-15.99906254,4198,-24.34142685,4629,-32.78152466,4760,-41.24952698,5105,-49.78750229,6512,-58.56890488,5925,-67.25584412,7057,-76.11762238,5745,-84.77370453,7366,-93.6783371,7868,-102.6488953,9061,-111.7606277,9571,-120.927124,10758,-130.2105255,11536,-139.5637512,12502,-148.9973907,11661,-158.3613892,14485,-167.9422607,15813,-177.6108551,17175,-187.3620605,20869,-197.308075,20405,-207.2316132,27220,-217.4433136,27262,-227.6565552,28896,-237.928009,32663,-248.3220062,35959,-258.8121338,36917,-269.3285522,42200,-279.9787292,46501,-290.7259521,55360,-301.6475525,53663,-312.5380249,61290,-323.5614014,64117,-334.6298523,74199,-345.8443604,90110,-357.2531433,90156,-368.6624451,98943,-380.1647339,107828,-391.7530212,119844,-403.4469604,137626,-415.2792664,151301,-427.2062988,151917,-439.1373901,182041,-451.2493896,186330,-463.3846741,220101,-475.6865234,240761,-488.0780945,265419,-500.5671692,293944,-513.1583252,303558,-525.7816772,364088,-538.586853,384442,-551.4464111,398628,-564.3422241,457620,-577.3760376,495901,-590.4901733,539750,-603.6890259,618483,-617.0240479,669967,-630.4390259,748759,-643.96521,803590,-657.5620728,932060,-671.307251,997418,-685.1201782,1089480,-699.0213623,1196372,-713.0161743,1316491,-727.1066284,1406349,-741.2631226,1578858
,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,-5.905361652,4100,-14.22410393,4125,-22.5489254,4508,-30.96253395,5318,-39.54138565,4905,-48.03939438,6033,-56.7443924,6670,-65.54976654,6189,-74.28029633,6984,-83.13167572,6833,-91.9611969,8526,-101.0120697,8088,-110.0102081,10064,-119.2269287,9943,-128.4315491,11976,-137.8222046,12114,-147.2243195,13332,-156.7222443,13790,-166.2539368,16130,-175.9423676,15892,-185.6159363,20211,-195.5299225,22139,-205.5350189,26343,-215.713974,26752,-225.9083405,29184,-236.1897125,33443,-246.6073151,35029,-257.0712585,38790,-267.6371765,42692,-278.2989502,42438,-288.9547424,55168,-299.8728943,55374,-310.7947693,63471,-321.8531189,61299,-332.8766479,76772,-344.1252441,88274,-355.5134583,90581,-366.9274597,99934,-378.4397278,106582,-390.0163879,117935,-401.6942749,137013,-413.5220947,152598,-425.4576721,153908,-437.4017944,182593,-449.5168152,188853,-461.6655273,216371,-473.9502869,243548,-486.353363,263465,-498.8350525,290821,-511.4155273,307040,-524.0502319,365681,-536.8597412,381700,-549.7121582,397416,-562.6049194,464342,-575.6533203,492495,-588.7605591,542982,-601.9653931,614550,-615.2940674,663904,-628.6999512,748560,-642.2258301,816418,-655.838501,930083,-669.581543,987178,-683.3841553,1093398,-697.2889404,1200351,-711.2870483,1315577,-725.3768311,1405943,-739.53302,1571256
,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-3.931825638,5193,-12.4868927,4120,-20.8105011,4292,-29.17500877,4678,-37.62563324,5675,-46.26945877,6384,-55.03100967,6024,-63.73451614,6767,-72.55432892,6632,-81.35398865,7327,-90.25331116,8205,-99.26580811,8269,-108.2860794,10172,-117.5134735,9918,-126.7155838,11615,-136.0756378,11680,-145.4412689,13239,-154.9321899,15784,-164.598938,14723,-174.196106,15678,-183.8561249,21663,-193.8394928,20875,-203.7857971,27442,-214.0056305,25974,-224.1704865,30780,-234.5051117,30725,-244.8379364,36485,-255.3425903,37171,-265.8658752,43669,-276.5502625,44616,-287.2561035,51924,-298.1136475,56645,-309.058197,61420,-320.0836792,64872,-331.1638489,73122,-342.363739,89197,-353.7623291,93692,-365.210083,93616,-376.6570435,112876,-388.2910767,118134,-399.9706421,133243,-411.7705688,154407,-423.717926,154113,-435.6633606,181545,-447.7726135,186848,-459.910675,219063,-472.2077942,243458,-484.6105042,262390,-497.0881042,292737,-509.6751404,304761,-522.3024292,368023,-535.1183472,379884,-547.9659424,401277,-560.8683472,466004,-573.9202881,486761,-587.0158081,539713,-600.2145996,618818,-613.5501709,659558,-626.9495239,746887,-640.4732056,824537,-654.0957642,936422,-667.8455811,979329,-681.6401978,1088776,-695.5407715,1202956,-709.5410767,1307673,-723.6248169,1419977,-737.7909546,1577884
,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-2.302585125,4545,-10.7243681,4277,-19.08537483,4460,-27.48827934,4419,-35.88194656,5414,-44.4786911,6161,-53.20468521,6609,-62.00087357,6095,-70.71609497,6944,-79.56172943,8250,-88.57969666,7176,-97.45819092,8810,-106.541832,10341,-115.7857056,9629,-124.9582367,10903,-134.2550354,12532,-143.6910706,12952,-153.16008,15619,-162.81633,14544,-172.4012604,17189,-182.1532898,20634,-192.0879822,20971,-202.0388794,25662,-212.1916504,26766,-222.3865356,30967,-232.7272186,31113,-243.0726013,35848,-253.5596466,39867,-264.1529541,40441,-274.7605591,49283,-285.5658875,47807,-296.3408203,58341,-307.3148804,62131,-318.3518677,65455,-329.440979,72562,-340.6331787,88062,-352.0189819,93624,-363.4660339,93263,-374.9092102,113578,-386.549469,116882,-398.2183838,132696,-410.0141907,154730,-421.963623,156133,-433.9220886,178609,-446.0150452,185243,-458.1444702,225722,-470.4715271,240124,-482.8604431,259667,-495.3276062,296393,-507.927063,307616,-520.5636597,364445,-533.369812,381363,-546.2213135,399752,-559.1199341,467209,-572.1744385,476959,-585.2496338,551767,-598.47052,617804,-611.8044434,666991,-625.2149658,743249,-638.7337646,821092,-652.3521729,927084,-666.09198,986575,-679.8939819,1088153,-693.7939453,1203391,-707.7946167,1307228,-721.8780518,1408573,-736.0361328,1605120
,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7236,-8.886823654,4239,-17.23890686,4805,-25.71632004,4286,-34.07942963,6061,-42.78905869,5663,-51.43076706,6596,-60.22498703,6497,-69.00408173,6235,-77.74201202,7875,-86.71346283,8689,-95.78327942,8612,-104.8441925,9451,-113.9980698,10467,-123.2540512,10034,-132.4677887,13090,-141.9473877,11676,-151.3126831,16828,-161.0434875,14166,-170.6020813,17906,-180.3949738,19815,-190.2891693,23427,-200.3508148,24044,-210.4384613,27725,-220.6685486,29143,-230.9485168,31818,-241.3162994,36012,-251.8079071,39321,-262.3874207,41279,-273.0155334,47778,-283.789856,48590,-294.5810242,57688,-305.5438232,63179,-316.5975647,64586,-327.6733093,71688,-338.8533936,91914,-350.2820129,93340,-361.7260132,92713,-373.163269,112451,-384.7935486,119001,-396.4804382,131853,-408.2698669,150465,-420.1913452,154963,-432.1422729,185217,-444.2715454,184921,-456.399231,225791,-468.726593,237565,-481.1047974,262305,-493.5820618,291644,-506.1653442,311433,-518.81427,365128,-531.6222534,380428,-544.4713135,401009,-557.3730469,459872,-570.4117432,483388,-583.5003052,547193,-596.7128906,623017,-610.0552368,659885,-623.4550781,739685,-636.9690552,836419,-650.605957,923615,-664.34198,983543,-678.1408691,1074177,-692.0279541,1215347,-706.0385132,1308352,-720.1228027,1419568,-734.2886963,1596861
,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1157,-7.053585529,4792,-15.52828884,4000,-23.8223381,5738,-32.47720337,5362,-41.06429672,5821,-49.73352432,6225,-58.46985245,6230,-67.20698547,6672,-76.01265717,8202,-85.0247879,8089,-94.0230484,8107,-103.0235291,10583,-112.290535,9870,-121.487793,10522,-130.7490234,12577,-140.1886444,12301,-149.6060791,15201,-159.235199,15558,-168.8875275,17397,-178.6515808,20885,-188.5983734,21874,-198.5914307,24219,-208.6863251,27838,-218.9204865,30659,-229.2511749,30411,-239.5737305,35591,-250.0535736,38442,-260.6104736,41258,-271.2380676,49457,-282.046936,48393,-292.8340454,57810,-303.7989502,61301,-314.8225098,66109,-325.9215698,71746,-337.1024475,86520,-348.4705811,99238,-359.9758606,91287,-371.3976135,113203,-383.0345459,116475,-394.6999817,134366,-406.5083008,149324,-418.4221802,157417,-430.3888245,181965,-442.5003967,188596,-454.6477661,223788,-466.966217,235453,-479.3354797,261705,-491.8104553,294336,-504.4029236,313943,-517.0598755,359656,-529.8527832,384290,-542.7119141,401908,-555.6159058,457570,-568.6495972,484964,-581.7414551,545145,-594.9502563,624279,-608.2946167,659394,-621.6936646,744242,-635.2138062,828578,-648.8412476,929895,-662.5840454,979142,-676.378479,1085251,-690.2758179,1202324,-704.2755737,1310384,-718.3613892,1416662,-732.5252075,1596076
,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,-5.424950123,3605,-13.61502743,4770,-22.08512878,5218,-30.64499855,5441,-39.24671555,5939,-47.93601227,5990,-56.63385773,6513,-65.4154129,7370,-74.32058716,7031,-83.17867279,8113,-92.17989349,8552,-101.2338104,10602,-110.5026093,9742,-119.6868134,10655,-128.9606018,12637,-138.4049835,12587,-147.8453979,14474,-157.4255066,15741,-167.0895233,17801,-176.8765259,20165,-186.7882233,23440,-196.8504181,23181,-206.9015045,27863,-217.1365662,30939,-227.4763336,30104,-237.7887421,36479,-248.2932281,38350,-258.8477478,41096,-269.471405,47738,-280.244873,49761,-291.059845,56320,-301.9986572,62771,-313.0458984,65601,-324.1372375,74768,-335.359375,82166,-346.6758728,101787,-358.2065125,91708,-369.6328735,112068,-381.2597351,118495,-392.9423523,136320,-404.7651062,145493,-416.6529846,155488,-428.6072998,183391,-440.7266846,191493,-452.8892822,223887,-465.2081909,231836,-477.5619812,263013,-490.0419312,296736,-502.6425171,314311,-515.3006592,353828,-528.0772095,387422,-540.944458,399878,-553.8433838,464094,-566.8912354,477893,-579.9683838,546007,-593.178772,622617,-606.5204468,663828,-619.9262085,737657,-633.437439,837099,-647.0751343,922541,-660.8099976,980704,-674.6060181,1093544,-688.5109253,1192529,-702.5025024,1319446,-716.5952148,1411361,-730.7553101,1600697
,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-3.68887949,3493,-11.8473959,5035,-20.37156487,5091,-28.90679359,5285,-37.47941971,5301,-46.05506897,6736,-54.87028885,6681,-63.67731094,7134,-72.54994202,6640,-81.35080719,9242,-90.48232269,8131,-99.48576355,10213,-108.7171783,10213,-117.9485931,10679,-127.2246246,11723,-136.5939331,12777,-146.0493317,14508,-155.6317902,15907,-165.3063049,18053,-175.1073761,20295,-185.0255127,22652,-195.0535126,23692,-205.1264038,27947,-215.3644714,30551,-225.6916199,30238,-236.0084686,33391,-246.4245148,41134,-257.0491028,43224,-267.7232666,46298,-278.4661255,49842,-289.2827454,57744,-300.246521,60530,-311.2574158,65247,-322.3433533,75953,-333.5812378,80506,-344.8773193,102494,-356.4148865,92307,-367.8477478,114586,-379.4968262,116103,-391.1590576,138034,-402.9943237,145796,-414.8842773,157329,-426.8503723,178861,-438.9447327,192849,-451.1144104,224630,-463.436615,231655,-475.7896118,258151,-488.2509155,296825,-500.8518066,314638,-513.5109863,360281,-526.305603,385555,-539.1680298,397690,-552.0614624,468888,-565.1195679,477642,-578.196167,541619,-591.3984985,619449,-604.7351074,667010,-618.1456909,742123,-631.6629639,828976,-645.2908936,928888,-659.0326538,987981,-672.8360596,1079526,-686.7280884,1202847,-700.7282715,1311989,-714.8153076,1417319,-728.9796143,1608661
